Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
"Makanan Ringan, keripik kentang, asin ringan","1,35",560,"6,72","35,39","53,54",24,148,"0,158","0,173","27,3"
"Makanan Ringan, keripik kentang manis, tawar","4,51",532,"2,94","32,35","56,82",59,145,"0,088","0,161",0
"Makanan Ringan, keripik kedelai atau keripik, asin","8,50",385,"26,50","7,35","53,15",171,7,"0,333","0,349",0
"Makanan Ringan, keripik bagel, polos","5,05",451,"12,34","15,14","66,36",24,131,"0,523","0,337",0
"Makanan Ringan, Kellogg, Krispies Beras Padi Kellogg","5,90",414,"3,40","9,00","80,50",3,42,"0,700","0,800",0
"Makanan Ringan, Kellogg, Bar Granola Rendah Lemak Kellogg, Almond Renyah / Gula Merah","5,00",390,"8,00","7,40","78,00",35,248,"0,700","0,800",0
"Sereal, Wheatena, Kering","6,50",357,"13,10","2,90","75,60",500,384,"0,070","0,140",0
"Sereal, Wheatena, Dimasak dengan Air, dengan Garam","85,40",59,"2,03","0,45","11,74",80,60,"0,011","0,022",0
"Sereal, Wheatena, Dimasak dengan Air","85,40",56,"2,00","0,50","11,80",80,60,"0,010","0,020",0
"Sereal, Siap Makan, Malt-O-Meal, Blueberry Mini Spooners","4,40",350,"8,81","1,92","79,40",33,331,1.100,"0,990",0
"Sereal, sereal gandum panas alami, kering","9,90",342,"11,20","2,00","75,20",40,379,"0,400","0,300",0
"Sereal, sereal gandum panas alami, dimasak dengan air, tanpa garam","83,60",62,"2,00","0,40","13,70",7,69,"0,070","0,050",0
"Sereal, sereal gandum panas alami, dimasak dengan air, dengan garam","83,60",62,"2,00","0,40","13,70",7,69,"0,070","0,050",0
"Sereal, Quaker, Whole Wheat Natural Cereal, Kering","9,80",333,"11,80","2,00","74,80",44,406,"0,480","0,140",0
"Sereal, Quaker, Weight Control Oatmeal Instan, Roti Pisang","9,04",361,"16,50","6,16","64,42",243,396,"0,735","0,865","0,1"
"Sereal, Quaker, Quick Oats With Iron, Dry","9,38",371,"13,70","6,87","68,18",47,458,"0,540","0,123",0
"Sereal, Quaker, Quaker Multigrain Oatmeal, Kering","10,35",334,"12,64","2,73","72,62",36,346,"0,340","0,180",0
"Sereal, Quaker, Quaker Multigrain Oatmeal, Disiapkan dengan Air, Tanpa Garam","83,58",61,"2,08","0,47","13,49",8,64,"0,053","0,024",0
"Sereal, Quaker, Quaker Multigrain Oatmeal, Disiapkan dengan Air, Garam","83,44",61,"2,07","0,47","13,47",8,63,"0,053","0,024",0
"Sereal, Quaker, Produk Bubur Jagung Instan dengan Rasa Keju Amerika, Kering","6,80",360,"8,80","4,67","74,18",418,76,"0,760","0,690",0
"Sereal, Quaker, Organik Oatmeal Instan, Reguler","8,80",367,"16,00","6,30","67,00",52,474,"0,730","0,140",0
"Sereal, Quaker, Oatmeal, Medical Real, Peach Almond, Kering","8,10",387,"10,10","9,84","68,61",105,302,"0,293","0,188","16,1"
"Sereal, Quaker, Oatmeal, Medali Nyata, Blueberry Hazelnut, Kering","7,47",386,"9,81","9,80","69,47",64,287,"0,352","0,115","2,8"
"Sereal, Quaker, Oatmeal, Medali Nyata, Berry Musim Panas, Kering","7,57",353,"11,31","4,40","72,58",124,358,"0,378","0,215","9,4"
"Sereal, Quaker, Oatmeal, Medali Nyata, Apel Kenari, Kering","7,80",390,"8,18","10,36","70,53",57,239,"0,269","0,090","0,9"
"Sereal, Quaker, Oatmeal, Medal Nyata, Cherry Pistachio, Kering","6,59",394,"12,02","11,02","66,73",132,333,"0,334","0,250","0,7"
"Sereal, Quaker, Oatmeal Instan, Variasi Buah dan Krim, Kering","6,56",379,"8,30","6,37","75,42",307,300,"0,943",1.068,"0,3"
"Sereal, Quaker, Oatmeal Instan, Roti Pisang, Kering","6,77",368,"8,97","4,85","75,70",277,315,"0,980",1.000,"0,9"
"Sereal, Quaker, Oatmeal Instan, Raisin dan Spice, Kering","8,45",360,"9,11","4,00","75,68",235,292,"0,790","0,670","0,7"
"Sereal, Quaker, Oatmeal Instan, Pengontrol Berat Badan, Kayu Manis","9,09",361,"16,50","6,28","64,21",245,402,"0,741","0,870","0,1"
"Sereal, Quaker, Oatmeal Instan, Maple dan Gula Merah, Kering","6,28",368,"9,20","4,63","76,91",226,297,"0,523","0,907",0
"Sereal, Quaker, Oatmeal Instan, Kismis, Kurma dan Kenari, Keringkan","8,35",371,"8,82","6,98","72,41",297,296,"0,892",1.017,"0,8"
"Sereal, Quaker, Oatmeal Instan, Dinosaur Telur, Gula Merah, Kering","6,87",384,"8,69","7,59","73,68",220,302,"0,660","0,750",0
"Sereal, Quaker, Oatmeal Instan, Cinnamon Swirl, Serat Tinggi","7,52",366,"8,79","4,80","75,67",278,306,"0,762",1.058,"0,2"
"Sereal, Quaker, Oatmeal Instan, Bumbu Kayu Manis, Gula Berkurang","8,45",358,"11,26","6,11","69,45",313,391,"0,900",1.170,"0,3"
"Sereal, Quaker, Oatmeal Instan, Buah dan Krim, Berbagai Rasa, Gula Berkurang","7,39",376,"10,16","7,46","71,57",246,359,1.447,"0,617","0,1"
"Sereal, Quaker, Oatmeal Instan, Apple dan Cinnamon, Mengurangi Gula","7,94",358,"10,29","5,64","72,17",355,357,1.065,1.207,"1,3"
"Sereal, Quaker, Oatmeal Instan, Apel dan Kayu Manis, Kering","6,62",366,"8,62","4,61","76,74",243,294,"0,730",1.040,"1,2"
"Sereal, Quaker, Oat Cepat, Kering","9,37",371,"13,70","6,87","68,18",47,458,"0,540","0,120",0
"Sereal, Quaker, Oat Bran, Quaker / Mother's Oat Bran, Kering","8,90",364,"17,03","7,97","62,94",79,694,"0,970","0,300",0
"Sereal, Quaker, Oat Bran, Quaker / Mother's Oat Bran, Disiapkan dengan Air, Tanpa Garam","89,07",43,"2,03","0,95","7,49",11,83,"0,115","0,036",0
"Sereal, Quaker, Kontrol Berat Badan Oatmeal Instan, Maple, dan Gula Merah","9,02",361,"16,37","6,20","64,25",268,392,1.018,"0,935","0,1"
"Sereal, Quaker, Instant Oatmeal, Cinnamon-Spice, Kering","7,37",369,"10,39","5,10","74,52",229,353,"0,717","0,813","0,1"
"Sereal, Quaker, Grits Instan, Rasa Keju Ham 'N', Kering","6,82",355,"10,73","4,68","71,08",409,95,"0,800","0,680",0
"Sereal, Quaker, Bubur Jagung, Instan, Rasa Keju Cheddar, Kering","6,71",363,"8,98","5,46","72,96",418,80,"0,740","0,670",0
"Sereal, Quaker, Bubur Jagung, Instan, Polos, Kering","7,20",343,"7,31","2,14","78,42",378,72,1.946,"0,697",0
"Sereal, Quaker, Bubur Jagung, Instan, Polos, Disiapkan (Ditambah Gelombang Mikro Atau Air Mendidih), Tanpa Garam","81,22",74,"1,58","0,49","15,95",64,14,"0,143","0,135",0
"Sereal, Quaker, Bubur Jagung Instan, Redeye Gravy & Country Ham, Kering","7,06",342,"9,83","1,58","75,86",441,79,"0,850","0,740",0
"Sereal, Quaker, Bubur Jagung Instan, Rasa Mentega, Kering","6,59",369,"8,12","5,64","74,83",413,115,"0,800","0,690",0
"Sereal, Quaker, Bubur Jagung Instan, Rasa Country Bacon, Kering","7,37",340,"9,93","1,73","75,39",418,93,"0,780","0,710",0
"Sereal, Quaker, Bubur Jagung Bubur Jagung, Putih, Teratur, Kering","10,00",361,"8,80","1,60","79,20",2,73,"0,610","0,360",0
"Sereal, Quaker, Bubur Jagung Bubur Jagung, Putih, Cepat, Kering","10,00",348,"8,80","1,20","79,60",2,73,"0,610","0,360",0
"Sereal, Oat Bran, Quaker, Quaker / Mother's Oat Bran, Disiapkan dengan Air, Garam","88,98",43,"2,03","0,95","7,49",11,82,"0,115","0,036",0
"Sereal, Millet, kembung","2,50",354,"13,00","3,40","80,00",8,266,"0,390","0,270",0
"Sereal, Malt-O-Meal, Sereal Gandum Panas Farina, Kering","9,69",365,"10,48","0,49","77,20",377,109,1.220,1.070,0
"Sereal, Malt-O-Meal, Cokelat, Disiapkan dengan Air, Tanpa Garam","89,15",47,"1,37","0,10","9,22",49,16,"0,150","0,150",0
"Sereal, Malt-O-Meal, Asli, Polos, Kering","10,35",365,"11,80","0,70","77,25",286,157,1.070,"0,730",0
"Sereal, Malt-O-Meal, Asli, Polos, Disiapkan dengan Air, Tanpa Garam","88,29",48,"1,67","0,09","10,09",37,22,"0,140","0,100",0
"Sereal, Malt-O-Makan, Maple & Brown Sugar Sereal Gandum Panas, Kering","5,90",368,"8,82","0,47","80,52",318,125,1.050,"0,930","1,0"
"Sereal, Malt-O-Makan, Cokelat, Kering","6,69",363,"10,60","0,82","79,55",375,124,1.250,1.120,0
"Sereal, Krim Gandum, Waktu Memasak 2 1/2 Menit, Dimasak dengan Air, Microwave, Tanpa Garam","87,11",52,"1,88","0,37","10,10",131,57,"0,087","0,045",0
"Sereal, Krim Gandum, Waktu Memasak 2 1/2 Menit, Dimasak dengan Air, Kompor, Tanpa Garam","86,20",56,"1,44","0,20","11,74",104,47,"0,093","0,067",0
"Sereal, Krim Gandum, Waktu Masak 2 1/2 Menit, Keringkan","11,56",355,"11,61","1,41","71,79",882,398,"0,760","0,417",0
"Sereal, Krim Gandum, Teratur (10 Menit), Dimasak dengan Air, Tanpa Garam","87,61",50,"1,44","0,21","10,52",87,15,"0,055","0,025",0
"Sereal, Krim Gandum, Teratur (10 Menit), Dimasak dengan Air, dengan Garam","87,14",50,"1,46","0,21","10,66",89,16,"0,070","0,028",0
"Sereal, Krim Gandum, Reguler, 10 Menit Masak, Keringkan","10,90",370,"10,50","1,50","76,50",606,115,"0,500","0,200",0
"Sereal, Krim Gandum, Instan, Kering","10,40",366,"10,60","1,40","75,50",357,103,1.339,1.214,0
"Sereal, Krim Gandum, Instan, Disiapkan dengan Air, Tanpa Garam","84,40",62,"1,84","0,24","13,08",64,18,"0,232","0,210",0
"Sereal, Krim Gandum, 1 Menit Waktu Memasak, Keringkan","11,41",359,"11,77","1,47","72,63",801,167,"0,740","0,375",0
"Sereal, Krim Gandum, 1 Menit Waktu Memasak, Dimasak dengan Air, Microwave, Tanpa Garam","86,51",55,"1,95","0,37","10,67",126,28,"0,097","0,037",0
"Sereal, Krim Gandum, 1 Menit Waktu Memasak, Dimasak dengan Air, Kompor, Tanpa Garam","86,40",56,"1,65","0,42","11,16",125,27,"0,055","0,022",0
"Sereal, Krim Beras, Kering","10,50",370,"6,30","0,50","82,40",5,124,"0,510","0,130",0
"Sereal, Krim Beras, Dimasak dengan Air, Tanpa Garam","87,50",52,"0,90","0,10","11,40",1,17,"0,071","0,018",0
"Sereal, Krim Beras, Dimasak dengan Air, dengan Garam","87,50",52,"0,90","0,10","11,50",1,17,"0,071","0,018",0
"Sereal, Khusus Kellogg Kurnur, Maple Brown Sugar Crunch, Kering","7,59",371,"15,39","9,89","62,09",385,457,"0,570","0,640","23,0"
"Sereal, Khusus Kellogg K Nourish, Kayu Manis Kismis Pecan, Kering","9,19",370,"14,10","10,39","61,90",385,431,"0,570","0,640","23,0"
"Sereal, Kellogg Khusus K Nourish, Cranberry Almond, Kering","8,50",361,"15,00","8,39","63,29",385,467,"0,570","0,640","23,0"
"Sereal, Kashi Hati ke Hati, Oatmeal Instan, Maple Coklat Keemasan, Kering","8,60",356,"11,39","5,09","73,59",25,0,0,0,"1,0"
"Sereal, Kashi Hati ke Hati, Instant Oatmeal, Apple Cinnamon, Kering","8,39",353,"11,10","5,00","73,80",47,0,0,0,"2,0"
"Sereal, Kashi Go Lean Sereal Panas, Madu Hangat & Kayu Manis, Keringkan","5,90",367,"18,39","5,30","68,00",66,241,"0,230","0,070","1,0"
"Sereal, Kashi Go Lean Sereal Panas, Creamy Truly Vanilla, Kering","6,98",360,"22,29","5,30","61,09",95,117,"0,200","0,070",0
"Sereal, Incaparina, Campuran Kering (Tepung Jagung dan Kedelai), Tidak Siap","7,47",379,"21,75","5,58","60,53",600,530,1.930,"0,610",0
"Sereal, gandum, teratur dan cepat, tidak kaya, dimasak dengan air (termasuk merebus dan microwave), tanpa garam","83,61",71,"2,54","1,52","12,00",9,77,"0,076","0,016",0
"Sereal, gandum, teratur dan cepat, tidak dibentengi, kering","10,84",379,"13,15","6,52","67,70",52,410,"0,460","0,155",0
"Sereal, gandum, teratur dan cepat dan instan, tidak diperkaya, dimasak dengan air (termasuk merebus dan microwave), dengan garam","83,61",71,"2,54","1,52","12,00",9,77,"0,076","0,016",0
"Sereal, Gandum, Instan, Diperkaya, Maple dan Gula Merah, Kering","6,40",368,"9,25","4,73","76,67",258,305,1.069,1.002,0
"Sereal, gandum, instan, diperkaya, dengan kismis dan rempah-rempah, kering","8,44",360,"8,45","4,03","76,33",228,273,"0,846","0,684","0,7"
"Sereal, gandum, instan, diperkaya, dengan kismis dan rempah-rempah, disiapkan dengan air","78,44",88,"1,98","0,95","17,91",56,64,"0,179","0,152","0,1"
"Sereal, gandum, instan, diperkaya, biasa, disiapkan dengan air (air mendidih ditambahkan atau microwave)","84,03",68,"2,37","1,36","11,67",80,77,"0,260","0,215",0
"Sereal, gandum, instan, dibentengi, polos, kering","8,92",362,"11,92","6,90","69,52",351,423,"0,445","0,050",0
"Sereal, gandum, instan, dibentengi, dengan kayu manis dan rempah-rempah, kering","6,92",369,"9,53","4,84","76,08",234,322,"0,748","0,749",0
"Sereal, gandum, instan, dibentengi, dengan kayu manis dan rempah-rempah, disiapkan dengan air","76,74",96,"2,37","1,21","18,95",61,80,"0,168","0,177",0
"Sereal, farina, tidak kaya, kering","10,50",369,"10,60","0,50","78,00",14,88,"0,060","0,100",0
"Sereal, farina, diperkaya, dimasak dengan air, tanpa garam","86,55",53,"1,82","0,34","10,92",97,37,"0,126","0,065",0
"Sereal, farina, diperkaya, dimasak dengan air, dengan garam","86,55",53,"1,82","0,34","10,92",97,37,"0,126","0,065",0
"Sereal, Farina, Diperkaya, Berbagai Macam Merek Termasuk Cream of Wheat, Cepat (1-3 Menit), Kering","11,08",360,"11,60","1,41","73,19",711,252,1.009,"0,563",0
"Sereal, Farina, Diperkaya, Berbagai Macam Merek Termasuk Cream of Wheat, Cepat (1-3 Menit), Dimasak dengan Air, Tanpa Garam","86,55",55,"1,82","0,34","10,92",97,37,"0,126","0,065",0
"Sereal, bubur jagung, putih, teratur dan cepat, diperkaya, kering","10,92",370,"7,65","1,75","79,09",4,111,1.271,"0,339",0
"Sereal, bubur jagung, putih, teratur dan cepat, diperkaya, dimasak dengan air, tanpa garam","82,93",71,"1,71","0,46","14,76",1,20,"0,086","0,058",0
"Sereal, bubur jagung, putih, teratur dan cepat, diperkaya, dimasak dengan air, dengan garam","82,93",71,"1,71","0,46","14,76",1,20,"0,086","0,058",0
"Sereal, bubur jagung, kuning, teratur, cepat, diperkaya, dimasak dengan air, dengan garam","84,36",65,"1,23","0,39","13,86",1,14,"0,103","0,058",0
"Sereal, bubur jagung, kuning, teratur dan cepat, tidak kaya, kering","10,00",371,"8,80","1,20","79,60",2,73,"0,130","0,040",0
"Sereal, bubur jagung, kuning, teratur dan cepat, diperkaya, kering","11,37",368,"6,72","1,49","79,91",4,76,"0,675","0,324",0
"Sereal, bubur jagung, kuning, teratur dan cepat, diperkaya, dimasak dengan air, tanpa garam","84,36",65,"1,23","0,39","13,86",1,14,"0,103","0,058",0
"Sereal siap saji, Valley Kesehatan, Serat 7 Serpih","3,00",353,"14,44","1,41","78,15",71,327,"0,529","0,600","4,2"
"Sereal siap saji, Uncle Sam Cereal","4,43",346,"15,98","11,60","65,78",95,374,"0,679","0,127","2,4"
"Sereal siap saji, Sun Country, Kretschmer Wheat Germ, Reguler","4,78",366,"31,43","9,56","49,38",50,"1,13",1.970,"0,780","6,0"
"Sereal siap saji, Sun Country, Kretschmer Honey Crunch Wheat Germ","3,40",372,"26,55","7,78","58,11",50,"1,011",1.340,"0,690","5,5"
"Sereal siap saji, Sun Country, Kretschmer Dedak Panggang Gandum","11,72",200,"17,56","5,16","59,51",66,"1,314",1.100,"0,450",0
"Sereal siap saji, Serpihan Oat Bran, Health Valley","3,40",380,"10,00","3,00","78,00",80,343,"0,750","0,850","120,0"
"Sereal siap saji, Serpihan Kellogg Frosted, Choco Zucaritas","2,65",387,"5,10","3,50","85,10",7,77,1.250,1.420,"20,0"
"Sereal siap saji, sereal gandum WEETABIX","3,00",371,"11,43","2,86","81,50",57,172,1.929,"0,980",0
"Sereal siap saji, Sereal Cokelat Kellogg's Krave","3,50",397,"7,00","11,10","76,10",61,102,1.210,1.130,"48,0"
"Sereal siap saji, Sereal Cokelat Ganda Kellogg's Krave","3,50",397,"7,10","11,20","75,90",67,112,1.250,1.130,"50,0"
"Sereal siap saji, Ralston Tasteeos","3,68",357,"10,71","5,36","75,50",357,536,1.339,1.518,"21,4"
"Sereal siap saji, Ralston Enriched Wheat Bran Flakes","2,53",310,"10,21","3,36","79,77",45,533,4.713,7.290,"239,7"
"Sereal siap saji, Ralston Crispy Hexagons","4,07",379,"5,94","0,95","86,78",8,63,1.810,2.052,"20,7"
"Sereal siap saji, Ralston Crisp Beras","3,62",394,"6,69","1,26","86,22",5,98,2.050,1.288,"64,5"
"Sereal siap saji, Ralston Corn Flakes","3,31",357,"5,90","0,91","88,01",2,33,4.483,1.740,"65,0"
"Sereal siap saji, Quater Oatmeal Square, Golden Maple","2,75",380,"11,30","4,83","78,04",201,371,"0,687","0,850","11,5"
"Sereal siap saji, Quaker, Shredded Wheat, Sereal Kantong","4,20",348,"11,24","2,01","81,01",45,362,"0,226","0,105",0
"Sereal siap saji, Quaker, Sereal Oat Bran Panggang Mother","4,00",372,"11,45","5,04","75,41",58,429,"0,550","0,320",0
"Sereal siap saji, Quaker, Sandi Butter Peutan Ibu","2,50",407,"7,62","7,33","79,68",23,213,"0,180","0,070",0
"Sereal siap saji, Quaker, Raja Vitaman","3,35",381,"6,41","3,44","83,85",10,250,1.268,1.425,"40,0"
"Sereal siap saji, Quaker, Quater Oat Cinnamon Life","4,30",374,"9,14","4,10","79,02",387,390,1.370,1.550,"0,1"
"Sereal siap saji, Quaker, Quaker Wheat Puffed","3,69",366,"16,26","2,15","76,39",24,331,"0,639","0,397",0
"Sereal siap saji, Quaker, Quaker Puffed Rice","3,91",383,"7,01","0,90","87,78",9,118,"0,441","0,265",0
"Sereal siap saji, Quaker, Quaker Oat Life, Polos","4,30",374,"9,98","4,43","77,74",351,423,1.280,1.490,0
"Sereal siap saji, Quaker, Quaker Honey Graham Life Sereal","4,30",373,"9,33","4,14","78,56",366,391,1.381,1.565,0
"Sereal siap saji, Quaker, Quaker Crunchy Cranchy","2,50",331,"6,37","4,06","83,68",71,186,"0,506",1.730,0
"Sereal siap saji, Quaker, Quaker 100% Granola Alami dengan Gandum, Gandum, Madu, dan Kismis","3,39",412,"9,66","10,38","74,67",101,357,"0,379","0,260","0,5"
"Sereal siap saji, Quaker, Oops Cap'N Crunch! Semua Sereal Buah Beri","2,50",395,"4,60","3,99","87,10",11,170,1.798,2.036,"0,4"
"Sereal siap saji, Quaker, Oatmeal Square, Kayu Manis","2,75",379,"11,23","4,88","78,09",210,369,"0,750","0,840","12,0"
"Sereal siap saji, Quaker, Oatmeal Square","2,75",379,"11,38","4,83","77,77",201,371,"0,683","0,850","11,5"
"Sereal siap saji, Quaker, Natural Granola Apple Cranberry Almond","3,21",418,"9,21","11,06","74,73",98,334,"0,340","0,260","3,1"
"Sereal siap saji, Quaker, Mother's Cinnamon Oat Crunch","2,75",382,"10,60","4,56","79,79",50,347,"0,420","0,110","0,8"
"Sereal siap saji, Quaker, Maple Brown Sugar Life","4,30",373,"9,17","4,06","78,86",349,389,1.346,1.526,0
"Sereal siap saji, Quaker, Manis Manis / Quisp","2,00",406,"4,51","6,08","85,03",9,168,1.529,1.732,0
"Sereal siap saji, Quaker, Madu Graham Oh! S","2,75",412,"3,92","7,63","83,65",11,133,1.049,"0,572","36,4"
"Sereal siap saji, Quaker, Granola Alami Rendah Lemak 100% dengan Kismis","3,40",388,"8,42","5,52","80,57",65,316,"0,368","0,201","0,4"
"Sereal siap saji, Quaker, Crisps Multigrain Panggang","4,00",372,"12,38","5,11","74,90",242,518,"0,720","0,820","11,5"
"Sereal siap saji, Quaker, Christmas Crunch","2,50",397,"4,44","4,83","85,92",11,168,1.635,1.846,"0,1"
"Sereal siap saji, Quaker, Cap'N Crunch's Peanut Butter Crunch","2,50",417,"7,10","9,23","78,65",9,194,1.530,1.732,0
"Sereal siap saji, Quaker, Cap'N Crunch's Halloween Crunch","2,48",402,"4,41","5,66","85,14",11,167,1.600,1.800,"0,1"
"Sereal siap saji, Quaker, Cap'N Crunch dengan Crunchberries","2,50",397,"4,45","4,83","85,93",11,168,1.600,1.800,"0,1"
"Sereal siap saji, Quaker, Cap'N Crunch","2,50",398,"4,39","5,12","85,51",11,167,1.614,1.822,0
"Sereal siap saji, Quaker, Bumpers Graham Ibu","2,50",379,"4,55","1,45","88,89",18,156,"0,160","0,050","0,3"
"Sereal siap saji, Quaker, Bumpers Cocoa Ibu","2,50",382,"4,21","1,61","89,91",16,166,"0,150","0,050","0,2"
"Sereal siap saji, Quaker, 100% Granola Alami, Oat, Gandum dan Madu","2,19",421,"10,55","11,62","73,65",109,392,"0,411","0,289","0,2"
"Sereal siap saji, Quaker Hearts Seluruh Sereal Gandum","2,75",376,"7,63","5,61","80,10",0,322,2.378,1.348,"71,3"
"Sereal siap saji, Puffin Barbara, Asli","3,59",333,"7,41","3,70","84,00",70,126,"0,111","0,068","55,6"
"Sereal siap saji, Posting, Waffle Crisp","2,50",390,"6,60","5,00","83,00",24,237,1.250,1.400,0
"Sereal siap saji, Post, Pebbles Buah","3,00",402,"4,62","4,02","86,10",19,71,1.390,1.570,"22,2"
"Sereal siap saji, Post, Madu, Anggaran Oat dengan Tandan Vanila","3,00",394,"7,90","5,10","81,80",33,232,"0,700","0,800",0
"Sereal siap saji, Post, Madu Makanan Oat, Pecan Bunches","2,90",399,"7,00","5,40","82,00",19,140,1.300,1.500,"0,2"
"Sereal siap saji, Post, Madu Makanan Oat, Madu Dipanggang","5,00",401,"7,12","5,46","81,19",23,156,1.223,1.250,0
"Sereal siap saji, Post, Madu Makanan Oat, dengan Stroberi Asli","2,90",399,"6,70","4,90","83,30",26,139,1.200,1.400,"15,6"
"Sereal siap saji, Post, Madu Makanan Oat, dengan Almond","2,90",409,"7,70","7,30","79,60",35,172,1.200,1.300,0
"Sereal siap saji, Post, Honeycomb","1,50",394,"6,01","2,93","86,63",11,132,1.170,1.330,0
"Sereal siap saji, Post, Honey Nut Shredded Wheat","3,00",373,"8,50","2,90","83,60",38,274,"0,600","0,700",0
"Sereal siap saji, Post, Grape-Nuts Flakes","3,30",376,"9,40","3,70","82,00",36,280,1.300,1.500,0
"Sereal siap saji, Post, Grape-Nuts","3,50",361,"11,22","1,81","80,49",32,467,"0,650","0,120","0,1"
"Sereal siap saji, Post, Grain Sereal Pecan Renyah","5,20",403,"9,00","10,50","73,00",39,296,"0,700","0,800","0,2"
"Sereal siap saji, Post, Grain Besar, Kismis, Kencan & Kemiri","8,50",378,"7,90","7,10","74,30",39,253,"0,700","0,800","0,5"
"Sereal siap saji, post, Crisp Emas","1,40",380,"5,50","1,70","90,10",15,227,1.400,1.600,0
"Sereal siap saji, Post, Cocoa Pebbles","2,50",397,"4,80","4,10","85,70",22,95,1.300,1.500,0
"Sereal siap saji, Post, Alpha-Bits","1,20",389,"10,00","4,60","80,30",35,309,1.300,1.400,"20,0"
"Sereal siap saji, Post, Abon Gandum, Ukuran Sendok Asli","3,00",351,"11,80","2,10","81,40",58,384,"0,290","0,090",0
"Sereal siap saji, Post, Abon Gandum, Sedikit Beku, Seukuran Sendok","6,00",352,"7,80","1,90","83,80",13,276,"0,720","0,820",0
"Sereal siap saji, Post, Abon Gandum, Biskuit Besar Asli","6,10",337,"11,37","2,01","78,96",56,375,"0,280","0,090",0
"Sereal siap saji, post, abon gandum n ',dedak, ukuran sendok","3,14",339,"10,93","2,06","80,65",44,418,"0,200","0,080",0
"Sereal siap saji, Post Selek Maple Pecan Crunch","3,00",413,"8,50","8,70","77,40",39,259,"0,700","0,800","0,1"
"Sereal siap saji, Post Selek Blueberry Morning","4,70",395,"6,50","5,30","81,60",41,162,"0,700","0,800","0,9"
"Sereal siap saji, Post Raisin Bran Sereal","8,60",324,"7,60","1,60","78,90",44,339,"0,600","0,700","0,9"
"Sereal siap saji, Post Madu, Anggaran Oat dengan Tandan Kayu Manis","2,80",400,"7,10","5,00","82,80",36,145,1.300,1.400,"0,4"
"Sereal siap saji, Post Bran Flakes","3,40",328,"9,90","2,10","80,50",44,449,1.300,1.400,0
"Sereal siap saji, Pasang Grain Pisang Kacang Besar","5,60",390,"9,80","8,80","70,90",44,279,"0,600","0,700","0,1"
"Sereal siap saji, Pasang Grain Besar Cranberry Almond Crunch","6,20",384,"8,90","5,90","76,60",40,255,"0,800","0,900","25,0"
"Sereal siap saji, Nature's Path, Organic Flax Plus, Pumpkin Granola","3,00",467,"11,23","18,33","66,10",51,323,"0,120","0,010","0,3"
"Sereal siap saji, Nature's Path, Organic Flax Plus Flakes","3,40",350,"11,91","5,46","75,27",55,460,"0,130","0,010",0
"Sereal siap saji, nasi, kembung, dibentengi","3,00",402,"6,30","0,50","89,80",6,98,2.600,1.800,0
"Sereal siap saji, Mom's Best, Sweet-Wheat-Fuls","6,00",373,"8,18","1,83","80,91",36,273,"0,210","0,110",0
"Sereal siap saji, Mom's Best, Honey Nut Toasty O's","2,50",388,"8,60","4,51","79,84",380,315,"0,300","0,100",0
"Sereal siap saji, Mills Umum, Trix","1,89",384,"4,90","3,79","86,19",313,188,1.600,1.890,"18,8"
"Sereal siap saji, Mills Umum, Total Raisin Bran","8,36",312,"5,60","1,60","76,80","1,887",189,2.800,3.200,0
"Sereal siap saji, Mills Umum, Serat Serat, Nutty Clusters & Almonds","2,79",348,"7,90","6,80","79,50",182,182,"0,690","0,800","10,9"
"Sereal siap saji, Mills Umum, Serat Serat, Karamel Delight","2,75",344,"5,80","5,80","82,69",200,200,"0,800","0,890","12,0"
"Sereal siap saji, Mills Umum, Serat Serat Sereal","3,22",207,"6,59","2,29","84,30",333,200,1.290,1.390,"20,0"
"Sereal siap saji, Mills Umum, Serat 80 Kalori, Kotak Madu","2,20",248,"4,80","2,59","85,19",1,333,1.290,1.390,"20,0"
"Sereal siap saji, Mills Umum, Serat 80 Kalori, Kotak Cokelat","2,20",253,"3,29","2,90","84,00","1,333",267,1.290,1.390,"20,0"
"Sereal siap saji, Mills Umum, Raisin Nut Bran","4,03",368,"8,19","5,30","80,00",41,204,"0,800","0,890","0,3"
"Sereal siap saji, Mills Umum, Puffs Reese","2,60",413,"6,80","11,10","75,60",345,207,1.300,1.500,"20,7"
"Sereal siap saji, Mills Umum, Multi-Grain Cheerios","2,50",370,"8,30","4,09","81,40",345,276,1.290,1.500,"20,7"
"Sereal siap saji, Mills Umum, Madu, Makanan Karir, Medley Crunch","2,70",387,"9,10","5,40","79,50",323,258,1.200,1.390,"19,4"
"Sereal siap saji, Mills Umum, Madu, Kaca Madu","2,86",376,"8,85","5,00","79,69",425,328,1.917,1.867,"21,4"
"Sereal siap saji, Mills Umum, Madu Clutter Madu","2,35",374,"7,70","2,00","85,20",34,140,"0,700","0,700","10,5"
"Sereal siap saji, Mills Umum, Kix","2,79",357,"7,69","3,46","82,82",570,189,1.955,2.000,"25,4"
"Sereal siap saji, Mills Umum, Jagung Chex","2,50",370,"6,40","2,40","85,00",323,129,1.200,1.390,"19,4"
"Sereal siap saji, Mills Umum, Honey Nut Chex","2,20",375,"6,30","2,00","86,67",313,63,1.200,1.290,"18,8"
